		4000 - CANADIAN PARKS SERVICE Functions 	 Comments 	45 Items 	2018-02-23 01:39 PM 	10E-OPE-OPE-4000
		4002 - CANADIAN HERITAGE Functions 	 Comments 	24 Items 	2018-02-23 01:51 PM 	10E-OPE-OPE-4002
		4005 - SOCIO-ECONOMIC INFORMATION DIVISION (SEID) Functions 	 Comments 	472 Items 	2018-02-23 01:51 PM 	10E-OPE-OPE-4005
		4010 - COOPERATIVE ACTIVITIES Functions 	 Comments 	91 Items 	2018-02-23 01:51 PM 	10E-OPE-OPE-4010
		4015 - SUSTAINABLE DEVELOPMENT Functions 	 Comments 	37 Items 	2018-02-23 02:00 PM 	10E-OPE-OPE-4015
		4020 - CONFERENCES SOCIO-ECONOMIC RESEARCH DIVISION Functions 	 Comments 	1 Item 	2018-02-23 01:59 PM 	10E-OPE-OPE-4020
		4030 - HERITAGE RECORDING SERVICES Functions 	 Comments 	292 Items 	2018-02-23 02:07 PM 	10E-OPE-OPE-4030
		4040 - CONSULTING FIRMS SOCIO-ECONOMIC RESEARCH DIVISION Functions 	 Comments 	204 Items 	2018-02-23 02:24 PM 	10E-OPE-OPE-4040
		4061 - PROJECTS Functions 	 Comments 	1940 Items 	2018-02-23 02:25 PM 	10E-OPE-OPE-4061
		4064 - PROJECTS SOCIO-ECONOMIC RESEARCH DIVISION Functions 	 Comments 	614 Items 	2018-02-23 02:25 PM 	10E-OPE-OPE-4064
		4065 - PUBLIC INVOLVEMENT, CONSULTATION AND PARTICIPATION Functions 	 Comments 	4 Items 	2018-02-23 02:25 PM 	10E-OPE-OPE-4065
		4070 - RESOURCES Functions 	 Comments 	4 Items 	2018-02-23 02:25 PM 	10E-OPE-OPE-4070
		4072 - RESOURCES - INVENTORY Functions 	 Comments 	180 Items 	2018-02-23 02:37 PM 	10E-OPE-OPE-4072
		4074 - RESOURCES - MANAGEMENT (CONSERVATION) Functions 	 Comments 	18 Items 	2018-02-23 02:44 PM 	10E-OPE-OPE-4074
		4076 - RESOURCES - RESEARCH Functions 	 Comments 	36 Items 	2018-02-23 02:46 PM 	10E-OPE-OPE-4076
		4077 - RESOURCES - ECOSYSTEM Functions 	 Comments 	1 Item 	2018-02-23 02:46 PM 	10E-OPE-OPE-4077
		4085 - SIGNS Functions 	 Comments 	5 Items 	2018-02-23 02:46 PM 	10E-OPE-OPE-4085
		4090 - SURVEYS AND STUDIES - SOCIO-ECONOMIC RESEARCH DIVISION Functions 	 Comments 	245 Items 	2018-02-23 02:29 PM 	10E-OPE-OPE-4090
		4095 - DATA PLANS - SOCIO-ECONOMIC RESEARCH DIVISION Functions 	 Comments 	6 Items 	2018-02-23 02:29 PM 	10E-OPE-OPE-4095
		4200 - AGREEMENTS FOR RECREATION AND CONSERVATION Functions 	 Comments 	2 Items 	2018-02-23 02:29 PM 	10E-OPE-OPE-4200
		4225 - CANALS Functions 	 Comments 	8 Items 	2018-02-23 02:44 PM 	10E-OPE-OPE-4225
		4250 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS Functions 	 Comments 	15 Items 	2018-02-23 03:07 PM 	10E-OPE-OPE-4250
		4252 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - BREAKWATER AND PROTECTION WORKS Functions 	 Comments 	8 Items 	2018-02-23 03:07 PM 	10E-OPE-OPE-4252
		4253 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - BUILDINGS Functions 	 Comments 	16 Items 	2018-02-23 03:07 PM 	10E-OPE-OPE-4253
		4254 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - CULVERTS, SYPHONS AND DRAINS Functions 	 Comments 	2 Items 	2018-02-23 03:07 PM 	10E-OPE-OPE-4254
		4256 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - DAMS AND WEIRS Functions 	 Comments 	30 Items 	2018-02-23 02:45 PM 	10E-OPE-OPE-4256
		4260 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - DREDGING Functions 	 Comments 	7 Items 	2018-02-23 03:07 PM 	10E-OPE-OPE-4260
		4266 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - ELECTRIC PLANTS, POWER SUPPLY AND LIGHTING Functions 	 Comments 	3 Items 	2018-02-23 02:48 PM 	10E-OPE-OPE-4266
		4268 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - FERRIES Functions 	 Comments 	1 Item 	2018-02-23 02:48 PM 	10E-OPE-OPE-4268
		4272 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - LOCKS AND GATES Functions 	 Comments 	47 Items 	2018-02-23 02:48 PM 	10E-OPE-OPE-4272
		4274 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - MARINE RAILWAYS Functions 	 Comments 	2 Items 	2018-02-23 02:48 PM 	10E-OPE-OPE-4274
		4278 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - OBSTRUCTIONS Functions 	 Comments 	7 Items 	2018-02-23 02:48 PM 	10E-OPE-OPE-4278
		4280 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - REACHES Functions 	 Comments 	3 Items 	2018-02-23 02:48 PM 	10E-OPE-OPE-4280
		4282 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - RETAINING WALLS AND PIERS Functions 	 Comments 	20 Items 	2018-02-23 02:48 PM 	10E-OPE-OPE-4282
		4284 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - SURVEYED AND PROPOSED Functions 	 Comments 	6 Items 	2018-02-23 02:48 PM 	10E-OPE-OPE-4284
		4285 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - WATER SUPPLY Functions 	 Comments 	3 Items 	2018-02-23 02:48 PM 	10E-OPE-OPE-4285
		4286 - CANALS - CONSTRUCTION, MAINTENANCE AND REPAIRS - WHARVES AND DOCKS Functions 	 Comments 	16 Items 	2018-02-23 02:48 PM 	10E-OPE-OPE-4286
